comps,reqs_per_comp,comps_per_req,overlap,time,num_workflows
5,1,1,0,0.9563422203063965,5
5,1,2,0,0.5915894508361816,10
5,1,3,0,0.8658359050750732,15
5,1,4,0,1.1416115760803223,20
5,1,5,0,1.4290480613708496,25
5,2,1,0,0.48645782470703125,5
5,2,2,0,1.67647385597229,20
5,2,3,0,3.742377758026123,45
5,2,4,0,6.607907056808472,80
5,2,5,0,10.337891340255737,125
5,3,1,0,0.6737558841705322,5
5,3,2,0,4.458922386169434,40
5,3,3,0,14.835739612579346,135
5,3,4,0,35.4027464389801,320
5,3,5,0,69.5170750617981,625
5,4,1,0,0.8154549598693848,5
5,4,2,0,10.992916822433472,80
5,4,3,0,55.88222074508667,405
5,4,4,0,175.92087936401367,1280
5,4,5,0,425.9667155742645,3125
5,5,1,0,0.9663512706756592,5
5,5,2,0,25.684221506118774,160
5,5,3,0,195.3403491973877,1215
5,5,4,0,827.9267723560333,5120
5,5,5,0,2682.888105869293,15625
10,1,1,0,0.6755380630493164,10
10,1,2,0,1.2209546566009521,20
10,1,3,0,1.7893059253692627,30
10,1,4,0,2.360637664794922,40
10,1,5,0,2.977583885192871,50
10,2,1,0,1.047196388244629,10
10,2,2,0,3.607480049133301,40
10,2,3,0,7.858572244644165,90
10,2,4,0,13.92683720588684,160
10,2,5,0,21.747520446777344,250
10,3,1,0,1.3576300144195557,10
10,3,2,0,9.334856033325195,80
10,3,3,0,31.36084294319153,270
10,3,4,0,73.66402506828308,640
10,3,5,0,139.7804718017578,1250
10,4,1,0,1.6254854202270508,10
10,4,2,0,21.779408931732178,160
10,4,3,0,109.87738347053528,810
10,4,4,0,349.04597091674805,2560
10,4,5,0,862.8885397911072,6250
10,5,1,0,1.9569897651672363,10
10,5,2,0,52.168885469436646,320
10,5,3,0,396.34208726882935,2430
10,5,4,0,1677.6040654182434,10240
10,5,5,0,5130.828328132629,31250
100,1,1,0,7.596824884414673,100
100,1,2,0,13.23284649848938,200
100,1,3,0,19.35778021812439,300
100,1,4,0,25.086568593978882,400
100,1,5,0,31.41245436668396,500
100,2,1,0,11.500030279159546,100
100,2,2,0,37.88974475860596,400
100,2,3,0,82.22261500358582,900
100,2,4,0,144.4012360572815,1600
100,2,5,0,227.21344423294067,2500
100,3,1,0,15.65343451499939,100
100,3,2,0,98.91593599319458,800
100,3,3,0,328.30890464782715,2700
100,3,4,0,769.530613899231,6400
100,3,5,0,1496.9353013038635,12500
100,4,1,0,19.855050802230835,100
100,4,2,0,240.19715857505798,1600
100,4,3,0,1203.1829438209534,8100
100,4,4,0,3863.6692736148834,25600
100,4,5,0,9440.706458568573,62500
100,5,1,0,24.185832500457764,100
100,5,2,0,571.9521656036377,3200
100,5,3,0,4332.875146865845,24300
100,5,4,0,18399.77775669098,102400
100,5,5,0,56028.42060875893,312500
