comps,reqs_per_comp,comps_per_req,overlap,time,num_workflows
5,1,1,0,0.9244744777679443,5
5,1,2,0,0.3238701820373535,5
5,1,3,0,0.3437838554382324,5
5,1,4,0,0.36319828033447266,5
5,1,5,0,0.3821687698364258,5
5,2,1,0,0.4752075672149658,5
5,2,2,0,0.5077872276306152,5
5,2,3,0,0.5619018077850342,5
5,2,4,0,0.5828793048858643,5
5,2,5,0,0.6244714260101318,5
5,3,1,0,0.6356596946716309,5
5,3,2,0,0.6831521987915039,5
5,3,3,0,0.7503466606140137,5
5,3,4,0,0.78371262550354,5
5,3,5,0,0.8330802917480469,5
5,4,1,0,0.7863469123840332,5
5,4,2,0,0.861778736114502,5
5,4,3,0,0.92915940284729,5
5,4,4,0,0.9945094585418701,5
5,4,5,0,1.0601551532745361,5
5,5,1,0,0.9425973892211914,5
5,5,2,0,1.0187110900878906,5
5,5,3,0,1.1115543842315674,5
5,5,4,0,1.187464952468872,5
5,5,5,0,1.26417875289917,5
10,1,1,0,0.5939233303070068,10
10,1,2,0,0.6331310272216797,10
10,1,3,0,0.6685595512390137,10
10,1,4,0,0.7265520095825195,10
10,1,5,0,0.7559387683868408,10
10,2,1,0,0.9374723434448242,10
10,2,2,0,1.020617961883545,10
10,2,3,0,1.0807976722717285,10
10,2,4,0,1.175978183746338,10
10,2,5,0,1.232959508895874,10
10,3,1,0,1.2549889087677002,10
10,3,2,0,1.3819489479064941,10
10,3,3,0,1.464123010635376,10
10,3,4,0,1.5656321048736572,10
10,3,5,0,1.6829147338867188,10
10,4,1,0,1.579725980758667,10
10,4,2,0,1.7288053035736084,10
10,4,3,0,1.8488807678222656,10
10,4,4,0,1.9741859436035156,10
10,4,5,0,2.111790895462036,10
10,5,1,0,1.891416311264038,10
10,5,2,0,2.0656204223632812,10
10,5,3,0,2.2092702388763428,10
10,5,4,0,2.401102066040039,10
10,5,5,0,2.5614185333251953,10
100,1,1,0,6.221111536026001,100
100,1,2,0,6.632711410522461,100
100,1,3,0,6.994504451751709,100
100,1,4,0,7.351351737976074,100
100,1,5,0,7.683662414550781,100
100,2,1,0,10.860648155212402,100
100,2,2,0,11.713375568389893,100
100,2,3,0,12.440970659255981,100
100,2,4,0,13.112226009368896,100
100,2,5,0,13.846661806106567,100
100,3,1,0,14.990118265151978,100
100,3,2,0,15.936826944351196,100
100,3,3,0,16.998060703277588,100
100,3,4,0,17.820168256759644,100
100,3,5,0,18.88954257965088,100
100,4,1,0,18.7994863986969,100
100,4,2,0,20.282006978988647,100
100,4,3,0,21.4564208984375,100
100,4,4,0,22.75929617881775,100
100,4,5,0,24.100342750549316,100
100,5,1,0,22.93693518638611,100
100,5,2,0,24.485708236694336,100
100,5,3,0,26.151663303375244,100
100,5,4,0,27.859172344207764,100
100,5,5,0,29.501779794692993,100
